Station,Year,Month,Day,Daily.Rainfall.Total..mm.,Latitude,Longitude,Date,Season
Botanic Garden,2018,8,18,0.2,1.3087,103.818,2018/8/18,Southwest Monsoon
Botanic Garden,2018,8,19,0,1.3087,103.818,2018/8/19,Southwest Monsoon
Botanic Garden,2018,8,20,0,1.3087,103.818,2018/8/20,Southwest Monsoon
Botanic Garden,2018,8,21,0,1.3087,103.818,2018/8/21,Southwest Monsoon
Botanic Garden,2018,8,22,32,1.3087,103.818,2018/8/22,Southwest Monsoon
Botanic Garden,2018,8,23,0.2,1.3087,103.818,2018/8/23,Southwest Monsoon
Botanic Garden,2018,8,24,5,1.3087,103.818,2018/8/24,Southwest Monsoon
Botanic Garden,2018,8,25,0,1.3087,103.818,2018/8/25,Southwest Monsoon
Botanic Garden,2018,8,26,0,1.3087,103.818,2018/8/26,Southwest Monsoon
Botanic Garden,2018,8,27,0,1.3087,103.818,2018/8/27,Southwest Monsoon
Botanic Garden,2018,8,28,0,1.3087,103.818,2018/8/28,Southwest Monsoon
Botanic Garden,2018,8,29,0,1.3087,103.818,2018/8/29,Southwest Monsoon
Botanic Garden,2018,8,30,0,1.3087,103.818,2018/8/30,Southwest Monsoon
Botanic Garden,2018,8,31,38.2,1.3087,103.818,2018/8/31,Southwest Monsoon
Botanic Garden,2018,9,1,0,1.3087,103.818,2018/9/1,Southwest Monsoon
Botanic Garden,2018,9,2,8.8,1.3087,103.818,2018/9/2,Southwest Monsoon
Botanic Garden,2018,9,3,0,1.3087,103.818,2018/9/3,Southwest Monsoon
Botanic Garden,2018,9,4,15.4,1.3087,103.818,2018/9/4,Southwest Monsoon
Botanic Garden,2018,9,5,0,1.3087,103.818,2018/9/5,Southwest Monsoon
Botanic Garden,2018,9,6,0,1.3087,103.818,2018/9/6,Southwest Monsoon
Botanic Garden,2018,9,7,61,1.3087,103.818,2018/9/7,Southwest Monsoon
Botanic Garden,2018,9,8,60.2,1.3087,103.818,2018/9/8,Southwest Monsoon
Botanic Garden,2018,9,9,7,1.3087,103.818,2018/9/9,Southwest Monsoon
Botanic Garden,2018,9,10,2.8,1.3087,103.818,2018/9/10,Southwest Monsoon
Botanic Garden,2018,9,11,0.6,1.3087,103.818,2018/9/11,Southwest Monsoon
